company_name,company_rating,industry,size,type,years_old,location
Cholamandalam Investment & Finance,4.1,NBFC,10k-50k Employees,Fortune India 500,46,Ahmedabad
Ujjivan Small Finance Bank,4.1,Banking,10k-50k Employees,Public,7,Ahmedabad
Stelmec,3.5,Electronics Manufacturing,501-1k Employees,Public,40,Ahmedabad
LG Electronics,4.1,Consumer Electronics & Appliances,1k-5k Employees,Public,66,Ahmedabad
Nestle,4.1,Food Processing,5k-10k Employees,Public,65,Ahmedabad
SKF,4.0,Auto Components,1k-5k Employees,Public,101,Ahmedabad
Tata Capital,4.2,NBFC,5k-10k Employees,Fortune India 500,17,Ahmedabad
Cera Sanitaryware,4.3,Building Material,1k-5k Employees,Public,44,Ahmedabad
Osia Hypermart,3.3,Retail,51-200 Employees,Public,10,Ahmedabad
Windsor Machines,3.7,Industrial Machinery,501-1k Employees,Public,61,Ahmedabad
Vistaprint,3.7,Internet,1k-5k Employees,Startup,12,Ahmedabad
Bandhan Bank,3.8,Banking,50k-1 Lakh Employees,Public,23,Ahmedabad
Manappuram Finance,4.0,NBFC,10k-50k Employees,Public,75,Ahmedabad
State Bank of India,3.9,Banking,1 Lakh+ Employees,Fortune India 500,218,Ahmedabad
Mahindra & Mahindra,4.2,Automobile,1 Lakh+ Employees,Public,79,Ahmedabad
Motilal Oswal Financial Services,3.8,Financial Services,10k-50k Employees,Public,37,Ahmedabad
Havells,4.1,Electrical Equipment,5k-10k Employees,Public,41,Ahmedabad
Bureau Veritas,4.0,Other,1k-5k Employees,Forbes Global 2000,196,Ahmedabad
Scanpoint Geomatics,3.8,IT Services & Consulting,51-200 Employees,Public,32,Ahmedabad
PwC,3.6,Management Consulting,10k-50k Employees,Conglomerate,144,Ahmedabad
Indian Army,4.7,Defence & Aerospace,1 Lakh+ Employees,Public,129,Ahmedabad
Thermax Limited,4.2,Industrial Machinery,1k-5k Employees,Public,58,Ahmedabad
InterGlobe Aviation,3.6,Aviation,10k-50k Employees,Fortune India 500,19,Ahmedabad
CMS IT Services,3.2,IT Services & Consulting,5k-10k Employees,Startup,10,Ahmedabad
Reliance Communications,4.0,Telecom,201-500 Employees,Public,22,Ahmedabad
Procter & Gamble,4.2,FMCG,1k-5k Employees,Public,187,Ahmedabad
CareEdge Ratings,2.9,Financial Services,501-1k Employees,Public,31,Ahmedabad
UNO Minda,4.1,Auto Components,201-500 Employees,Fortune India 500,66,Ahmedabad
Sakar Healthcare,3.6,Pharma,51-200 Employees,Public,20,Ahmedabad
McDonald's,4.2,Hospitality,1k-5k Employees,Forbes Global 2000,69,Ahmedabad
Tata Teleservices,4.1,Telecom,201-500 Employees,Public,28,Ahmedabad
Godrej & Boyce Manufacturing,4.0,Consumer Electronics & Appliances,10k-50k Employees,Fortune India 500,127,Ahmedabad
Muthoot Finance,3.6,NBFC,10k-50k Employees,Public,85,Ahmedabad
V-Trans,4.1,Logistics,1k-5k Employees,Public,66,Ahmedabad
Narayana Health,4.2,Healthcare,10k-50k Employees,Fortune India 500,24,Ahmedabad
Brilworks,4.6,Software Product,51-200 Employees,Startup,5,Ahmedabad
Blue Star,4.1,Consumer Electronics & Appliances,1k-5k Employees,Public,81,Ahmedabad
Exide Industries,3.6,Auto Components,5k-10k Employees,Public,77,Ahmedabad
Rushil Decor,4.2,Building Material,501-1k Employees,Public,30,Ahmedabad
Secure Meters,4.1,Electronics Manufacturing,1k-5k Employees,Public,37,Ahmedabad
Thomson Reuters,4.2,Software Product,5k-10k Employees,Forbes Global 2000,16,Ahmedabad
Yudiz Solutions,3.7,Software Product,201-500 Employees,Public,13,Ahmedabad
5Paisa Capital Limited,4.0,Financial Services,501-1k Employees,Public,9,Ahmedabad
Lumax Industries,4.0,Auto Components,1k-5k Employees,Public,79,Ahmedabad
Meghmani Industries,3.7,Agro Chemicals,1-10 Employees,Public,38,Ahmedabad
Courtyard by Marriott,4.2,Hospitality,1k-5k Employees,Public,97,Ahmedabad
Cipla,4.1,Pharma,10k-50k Employees,Public,89,Ahmedabad
PVR Cinemas,4.1,Media & Entertainment,1k-5k Employees,Public,27,Ahmedabad
Trent,4.1,Retail,10k-50k Employees,Public,26,Ahmedabad
L&T Finance,4.0,NBFC,10k-50k Employees,Public,30,Ahmedabad
Abbott,4.2,Pharma,10k-50k Employees,Public,136,Ahmedabad
Kotak Mahindara Life Insurance,3.9,Insurance,10k-50k Employees,Public,23,Ahmedabad
Spinny,3.9,Internet,1k-5k Employees,Indian Unicorn,9,Ahmedabad
Accenture,4.0,IT Services & Consulting,1 Lakh+ Employees,Public,35,Ahmedabad
Ambuja Cements,4.0,Building Material,5k-10k Employees,Public,41,Ahmedabad
Atul Auto,3.9,Automobile,501-1k Employees,Public,38,Ahmedabad
Kotak Mahindra Prime,4.0,NBFC,5k-10k Employees,Public,28,Ahmedabad
SYSTRA,4.1,Engineering & Construction,501-1k Employees,Public,67,Ahmedabad
Jubilant Foods Works,3.9,Hospitality,10k-50k Employees,Public,29,Ahmedabad
USHA International,4.2,Consumer Electronics & Appliances,1k-5k Employees,Public,90,Ahmedabad
Tata AutoComp Systems,3.9,Auto Components,1k-5k Employees,Public,29,Ahmedabad
Bodal Chemicals,3.8,Chemicals / Agri Inputs,201-500 Employees,Public,38,Ahmedabad
Sintex-bapl,3.8,Petrochemicals,501-1k Employees,Public,17,Ahmedabad
Sintex-bapl,3.8,Petrochemicals,501-1k Employees,Public,17,Ahmedabad
XpressBees,3.8,Logistics,5k-10k Employees,Indian Unicorn,9,Ahmedabad
CBRE,4.2,Real Estate,10k-50k Employees,Forbes Global 2000,118,Ahmedabad
Berger Paints,3.8,Chemicals,1k-5k Employees,Public,101,Ahmedabad
Landmark Group,4.1,Retail,1k-5k Employees,Conglomerate,51,Ahmedabad
Stovec Industries,3.5,Industrial Machinery,51-200 Employees,Public,51,Ahmedabad
Suzuki,4.1,Automobile,10k-50k Employees,Forbes Global 2000,10,Ahmedabad
Hester Biosciences,4.2,Biotechnology,201-500 Employees,Public,41,Ahmedabad
Gujarat Gas,4.1,Oil & Gas,1k-5k Employees,Public,44,Ahmedabad
Team Lease,4.0,Recruitment,1k-5k Employees,Public,8,Ahmedabad
Riddhi Corporate Services,3.9,IT Services & Consulting,11-50 Employees,Public,14,Ahmedabad
Gujarat Heavy Chemicals,4.0,Chemicals,1k-5k Employees,Public,41,Ahmedabad
Crowne Plaza,4.1,Hospitality,501-1k Employees,Public,41,Ahmedabad
Domino's Pizza,4.0,Hospitality,1k-5k Employees,Public,64,Ahmedabad
Poonawalla Fincorp,3.9,NBFC,1k-5k Employees,Public,36,Ahmedabad
Inox Wind,3.7,Power,501-1k Employees,Public,15,Ahmedabad
JK Cement,4.2,Building Material,1k-5k Employees,Public,49,Ahmedabad
Spicejet,3.5,Aviation,5k-10k Employees,Public,20,Ahmedabad
IDBI Bank,3.7,Banking,10k-50k Employees,Public,60,Ahmedabad
Godfrey Phillips India,4.1,FMCG,501-1k Employees,Public,91,Ahmedabad
Titan Company,4.4,Retail,5k-10k Employees,Public,40,Ahmedabad
Godfrey Phillips India,4.1,FMCG,501-1k Employees,Public,91,Ahmedabad
IDBI Bank,3.7,Banking,10k-50k Employees,Public,60,Ahmedabad
Inox Wind,3.7,Power,501-1k Employees,Public,15,Ahmedabad
Titan Company,4.4,Retail,5k-10k Employees,Public,40,Ahmedabad
Wipro Infotech,4.0,IT Services & Consulting,1 Lakh+ Employees (Global),MNC,79,Ahmedabad
RBL Bank,3.8,Banking,10k-50k Employees,Public,81,Ahmedabad
Airan Consultant,4.1,IT Services & Consulting,51-200 Employees,Public,29,Ahmedabad
Kalpataru Power Transmission,4.2,Engineering & Construction,1k-5k Employees,Public,43,Ahmedabad
R for Rabbit Baby Products,4.5,Internet,11-50 Employees,Startup,10,Ahmedabad
CenturyPly,4.0,Furniture & Furnishing,1k-5k Employees,Public,38,Ahmedabad
Varun Beverages,4.1,Beverage,5k-10k Employees,Public,29,Ahmedabad
